Site Name	Owner	Company CEO	CEO Annual Pay	Company Net Profit	Company Reported MT of Salmon harvested in a year	Latitude	Longitude	Farm Type	Type of Salmon Grown	Brand Names Sold Under	Date Registered	National Grid Reference	Nation	Region or Province	Local Authority	Location	Farm Site Licensed 2017-2020?	Feed Discharged Per Year In Metric Tons (MT)	Reported Green House Gas (GHG) C02 MT emissions from feed discharged per annum	Salmon Grown Per Year	Approx. effluent rate based on stocking size	Algae Blooms	# Salmon Mortalities 2012-2020	Locally Reported Impact on Wildlife and Area	Lifetime Reported Escapes 1998-2020	Infectious Salmon Anaemia Virus Outbreak 2012-2020 (ISAv)	Piscine Reovirus Outbreak (PRV)	Infectious Pancreatic Necrosis Virus Confirmed 2012-2020 (IPNv)	Sealice Outbreaks	Sealice Treatments	Florfenicol Treatments	Reported SLICE®, emamectin benzoate (EMB)Treatments
Brougham Point, East Thurlow Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.3735	-125.381537	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	S. of E. Thurlow Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3315	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Chancellor Channel	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.414513	-125.659654	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	West Thurlow Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2550	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Cleagh Creek	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.482041	-127.733534	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Quatsino Sound	Western Shore-Vancouver Island, BC	Y	N/A	N/A	2000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Conville Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.182557	-125.149897	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Conville Bay, Hoskyn Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Conville Point	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.191573	-125.143208	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Hoskyn Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Cougar Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	52.727483	-128.57507	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Tolmie Channel	Central Coast, BC	Y	Info coming soon	Info coming soon	4000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Cyrus Rocks, Okisollo Channel	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.258692	-125.213763	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Okosillo Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Dalrymple	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.26461	-125.826896	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	S. of Mid Island Co op on Hwy 19.	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	650 MT projected	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Doctor Islets	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.653647	-126.289433	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Knight Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Doyle Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.814446	-127.485712	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Gordon Group	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	4000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Duncan Island, Goletas Channel	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.825882	-127.565815	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Gordon Group	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	4000	Info coming soon	Info coming soon	Info coming soon	"the farm owner dragged piles of old feed tubes up into the forest on an old midden...... More than 15yrs ago... Still there"	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Dunsterville Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.147431	-125.148788	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Hoskyn Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2202	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Egerton Creek	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.488088	-125.254274	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Thurlow	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Farside	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.490743	-125.27236	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Thurlow	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Freddie Arm	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.473725	-125.264431	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Freddie Arm	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Georgie Lake Hatchery Site #1	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.746153	-127.647948	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	N.W. of Port Hardy	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Georgie Lake Hatchery Site #2	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.748904	-127.684002	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	N.W. of Port Hardy	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Ghi ya	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.897351	-127.902104	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Bull Harbour, Hope Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3500	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Glacial Creek	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.00999	-123.902365	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Jervis Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Glacial Falls	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.847879	-126.319209	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Tribune Channel, near Jervis Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2200	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Goat Cove, Roderick Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	52.785441	-128.414059	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Roderick Island	Central Coast, BC	Y	Info coming soon	Info coming soon	2815	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Hardwicke Is. Site B, Chancellor Channel	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.414881	-125.768248	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Chancellor Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3600	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Hohoae South Point (Whitely Island)	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.035375	-127.212845	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Pinnace Channel	Western Shore-Vancouver Island, BC	Y	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Homfray	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.29584	-124.638451	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Homfray Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Humphrey Rock, Tribune Channel	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.697993	-126.256332	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Tribune Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3600	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Jack Creek	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.607247	-125.555444	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Loughborough Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Jackson Pass	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	52.541064	-128.405747	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	S. shore Roderick Island	Central Coast, BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Kid Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	52.798875	-128.401525	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Roderick Island	Central Coast, BC	Y	Info coming soon	Info coming soon	4000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Koskimo Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.458827	-127.889826	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Quatsino Sound	Western Shore-Vancouver Island, BC	Y	N/A	N/A	3901	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Larsen Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.602372	-126.633054	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	 Indian Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	1800	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Lees Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.40932	-125.700402	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	N. Shore, West Thurlow Is.	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2550	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Lime Bay, vicinity of Pooley Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	52.785471	-128.331439	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Vicinity of Pooley Isl.	Central Coast, BC	Y	Info coming soon	Info coming soon	4165	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Mahatta East	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.474282	-127.78792	Sea Farm	Pilchard (Sardinops sagax), Pacific Halibut (Hippoglossus stenolepis), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Koskimo Islands, Quatsino Sound	Western Shore-Vancouver Island, BC	Y	3221 MT (2017)	148.81 MT C02e (2017)	5202 MT permitted but 4120.8 MT harvest (2017)					9,391 fish (2017)							
Mahatta West	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.468661	-127.834598	Sea Farm	Pilchard (Sardinops sagax), Pacific Halibut (Hippoglossus stenolepis), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Koskimo Islands, Quatsino Sound	Western Shore-Vancouver Island, BC	Y	N/A	N/A	5202	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Markale Pass	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.06348	-127.22371	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	S. of Moketas Island	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
